Title	Project	File Base Name	Coord Type	Start Longitude	Start Latitude	End Longitude	End Latitude	Velocity Offset	Rest Frequency	Frequency Delta	Start Cal Time	End Cal Time	Integration Period	Start Time	Reference	Epoch
PocketSpacecraft	MGS-NEO2-44117A	AZ120_EL10	AZEL	120	10	120	10	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ110_EL10	AZEL	110	10	110	10	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ100_EL10	AZEL	100	10	100	10	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ90_EL10	AZEL	90	10	90	10	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ80_EL10	AZEL	80	10	80	10	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ70_EL10	AZEL	70	10	70	10	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ60_EL10	AZEL	60	10	60	10	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ50_EL10	AZEL	50	10	50	10	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ40_EL10	AZEL	40	10	40	10	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ30_EL10	AZEL	30	10	30	10	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ20_EL10	AZEL	20	10	20	10	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ10_EL10	AZEL	10	10	10	10	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ0_EL10	AZEL	0	10	0	10	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ0_EL20	AZEL	0	20	0	20	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ10_EL20	AZEL	10	20	10	20	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ20_EL20	AZEL	20	20	20	20	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ30_EL20	AZEL	30	20	30	20	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ40_EL20	AZEL	40	20	40	20	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ50_EL20	AZEL	50	20	50	20	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ60_EL20	AZEL	60	20	60	20	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ70_EL20	AZEL	70	20	70	20	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ80_EL20	AZEL	80	20	80	20	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ90_EL20	AZEL	90	20	90	20	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ100_EL20	AZEL	100	20	100	20	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ110_EL20	AZEL	110	20	110	20	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ120_EL20	AZEL	120	20	120	20	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ130_EL20	AZEL	130	20	130	20	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ140_EL20	AZEL	140	20	140	20	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ150_EL20	AZEL	150	20	150	20	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ160_EL20	AZEL	160	20	160	20	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ170_EL20	AZEL	170	20	170	20	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ180_EL20	AZEL	180	20	180	20	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ190_EL20	AZEL	190	20	190	20	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ200_EL20	AZEL	200	20	200	20	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ210_EL20	AZEL	210	20	210	20	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ220_EL20	AZEL	220	20	220	20	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ230_EL20	AZEL	230	20	230	20	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ240_EL20	AZEL	240	20	240	20	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ250_EL20	AZEL	250	20	250	20	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ260_EL20	AZEL	260	20	260	20	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ270_EL20	AZEL	270	20	270	20	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ280_EL20	AZEL	280	20	280	20	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ290_EL20	AZEL	290	20	290	20	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ300_EL20	AZEL	300	20	300	20	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ310_EL20	AZEL	310	20	310	20	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ320_EL20	AZEL	320	20	320	20	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ330_EL20	AZEL	330	20	330	20	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ340_EL20	AZEL	340	20	340	20	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ350_EL20	AZEL	350	20	350	20	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ350_EL30	AZEL	350	30	350	30	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ340_EL30	AZEL	340	30	340	30	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ330_EL30	AZEL	330	30	330	30	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ320_EL30	AZEL	320	30	320	30	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ310_EL30	AZEL	310	30	310	30	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ300_EL30	AZEL	300	30	300	30	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ290_EL30	AZEL	290	30	290	30	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ280_EL30	AZEL	280	30	280	30	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ270_EL30	AZEL	270	30	270	30	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ260_EL30	AZEL	260	30	260	30	0	0	0	0	0	20	0	NO	AZEL
